  2.825  0.835  2.658  5.364  6.967  4.690  7.166  2.394 23.802  3.260  3.458  5.487
  0.411  0.791  0.746  3.367  3.059  8.953  2.885  6.740  3.839  1.342  1.747  6.606
  2.671  0.704  3.058  6.751  5.784  5.217  5.032  5.053  3.651  2.240  5.336  0.669
  0.534  9.488  0.253  1.362  2.597  3.249  2.971  0.953  1.335  2.438  0.654  2.379
 10.932  6.163  5.602  7.460  5.124  8.199  0.306  5.956  4.280  5.609  4.668  5.946
  0.468 12.518  1.028  0.915  3.843  0.280  8.271  1.782  2.238  1.967 53.369  6.412
  7.839  5.492  7.789 30.474  0.636  6.768  4.679 43.953  6.689  6.546  3.712  1.586
  3.401 13.777  1.056  0.249  1.969  3.251  4.612  2.410  3.395  2.714  2.114  2.491
  0.438  3.734  7.213  3.855 87.217  2.191  6.645  7.281  9.922  3.074  3.755101.974
 38.998  1.000  4.528  4.211  2.714  3.688  4.735  4.873  1.497  0.740  3.328  3.680
  5.593  7.296  8.145 10.889  3.109  5.656  5.574  3.436  0.154  9.899  5.001  6.513
105.709110.538  0.327  0.589  5.381  3.497  4.256  2.749  5.820  2.456  2.626  4.607
  1.554  6.699  8.891  7.343 99.625  3.168  3.964 15.362  5.323  5.143  5.489  5.015
  1.250  2.383  0.114  5.622  1.129  1.735  4.344  0.740  1.589  4.207  3.406 23.490
  4.411  4.117 10.605 20.153 20.564  5.007  1.209  0.225  7.881  3.275  4.379  5.085
 23.711  2.758  7.246  5.473 14.658  5.247  6.028  5.026  4.883  6.788  6.522  1.880
  5.274  5.321  1.343  4.283  9.616  5.184  2.925  5.373  3.569 10.945  2.642  3.755
  3.147  4.371  2.717  7.826  5.904 11.060  2.456  3.767  3.161  1.498  6.820  3.995
  3.752  4.422  5.174  8.152  5.394  6.619  1.513 14.637 10.017  4.126  6.481  3.807
  5.647  2.893  6.431  3.716  2.415  6.406245.453  2.805  9.635  2.120  4.085 18.604
  2.064 14.589  9.144  3.865  6.078  3.375  4.939  5.199  4.223  3.832  0.000  0.000
  0.000  0.000  4.039  5.523  4.620 10.945  6.385  6.250  6.584  1.948  8.517  4.028
  1.698  6.639 10.703  5.613  5.582  5.327  5.195  4.911  3.989  5.651  0.000  0.000
  0.000  0.000  4.756  5.264  5.207  3.910  5.792  6.035  1.894  1.036  3.044  2.784
  4.431  1.768 10.383 14.034  4.592  5.820  8.197  5.987  3.315 73.134  0.000  0.000
  0.000  0.000  3.204  4.368  5.238  2.097 85.057  2.820  3.294  2.104  2.784  4.923
  2.169  2.763 16.299  5.145  3.000  4.003  7.027  5.912  5.779  7.455  0.000  0.000
  0.000  0.000  2.882  3.793 18.877  4.962  4.739  3.451  8.695  1.412  1.199  3.267
 12.411  6.665  6.360  7.675 17.448  1.734  7.368  4.901  6.510 75.243 11.451  6.385
  3.691  6.441 11.311  6.990  2.349  5.537  5.927  2.131  1.958  1.664  2.370  1.974
  9.512 19.522  4.951 16.186  6.862  4.561  7.567 13.723  7.085  7.438  6.537  6.560
  1.802 70.583 12.030  7.679  5.614  4.722  2.078  6.969  4.563  6.034  8.669  1.993
  4.496  3.137  1.181  6.023  2.630  3.719  5.692  3.681  2.644  3.087  2.016  5.151
  6.422  4.262  6.669  2.192  3.512  5.917  3.598  4.911  4.122  4.369  1.715  1.399
  1.573  5.745  3.156  2.911 10.987  3.940  8.262  4.208  4.967  4.823  3.424  4.934
 13.602  9.001 19.450  3.513  1.969  2.450 12.981  7.256  4.240  3.881 37.004 14.030
  4.099  6.864  7.835  4.081  5.832  4.195  2.230 10.441 15.528 11.089  3.536  4.603
  3.242 10.491  3.756  3.826 10.051 21.555  4.117 17.199 92.612  5.684  3.605  1.168
  1.785  5.291 28.519  9.072 10.101  5.290  5.883 20.570  7.306  4.851  5.896  5.561
 20.700  3.586  5.384  3.098  1.477  0.583 10.890  3.559  4.356  1.736  3.508 37.599
  3.676  4.987  3.200  5.396  4.439  3.097  3.615  3.656  4.034  3.574  2.743  7.846
  3.260  3.045  9.834  1.120  4.594  0.574  2.557  9.625  2.520  4.124  1.544 10.138
  1.223  4.210  6.420  3.900  5.158  8.947  9.200  9.393  9.154  7.652  8.933  2.175
 37.012  2.441  2.334  5.608  7.224  3.513  0.960  2.977  5.664  4.369  3.069  4.106
  6.497  3.968  2.753  3.629  9.089  4.970 12.922 20.581  3.326  4.477  3.718  5.296
  4.061  4.753 11.930  5.176  2.756  4.634  2.867  1.973  4.737  2.370  3.197  2.899
  1.975  4.910  9.921  5.051  7.190  9.211  5.628  5.397  7.504 14.007 12.497  4.324
 15.701  6.866 11.835  7.500 11.566  3.252  1.999  4.551 12.232  7.150  4.448  0.294
  9.253  4.283  1.859  3.430  5.203  4.239  5.682  7.275
  0.575  5.673  3.891  4.405  3.090  1.985  6.046  2.013
  2.877  3.803  2.648  4.381  7.107  3.270  5.272  3.181
  2.155  2.107  2.725  3.174  3.954  4.178  2.772  4.402
  2.741  5.085  5.569  3.357  5.128  3.321  3.067  3.074
  4.310  2.828  4.928  4.133  3.687  3.391200.000  0.184
  0.077  5.489  3.320  4.968  4.731  0.456  3.389  3.507
  8.037  3.345  2.969  5.349  2.040  5.324  6.042 98.192

