hard=adr-MISS
soft=X+(Y-1)*8  - centr=0
    =X+(Y-1)*24 - centr=1
modul - planka, v kotoruyu prihodi signal s LGD2, ne nomer MISS!
hard/soft/centr/modul
    0  108   1     0
    1  132   1     0
    2  156   1     0
    3  180   1     0
    4   12   1     0
    5   36   1     0
    6   60   1     0
    7   84   1     0
    8  107   1     0
    9  131   1     0
   10  155   1     0
   11  179   1     0
   12   99   1     0
   13  123   1     0
   14  147   1     0
   15  171   1     0
   16    3   1     0
   17   27   1     0
   18   51   1     0
   19   75   1     0
   20   98   1     0
   21  122   1     0
   22  146   1     0
   23  170   1     0
   24    2   1     0
   25   26   1     0
   26   50   1     0
   27   74   1     0
   28   97   1     0
   29  121   1     0
   30  145   1     0
   31  169   1     0
   32    1   1     0
   33   25   1     0
   34   49   1     0
   35   73   1     0
   36   11   1     0
   37   35   1     0
   38   59   1     0
   39   83   1     0
   40  106   1     0
   41  130   1     0
   42  154   1     0
   43  178   1     0
   44   10   1     0
   45   34   1     0
   46   58   1     0
   47   82   1     0
   48  102   1     0
   49  126   1     0
   50  150   1     0
   51  174   1     0
   52    6   1     0
   53   30   1     0
   54   54   1     0
   55   78   1     0
   56  101   1     0
   57  125   1     0
   58  149   1     0
   59  173   1     0
   60  105   1     0
   61  129   1     0
   62  153   1     0
   63  177   1     0
   64    9   1     0
   65   33   1     0
   66   57   1     0
   67   81   1     0
   68  104   1     0
   69  128   1     0
   70  152   1     0
   71  176   1     0
   72    8   1     0
   73   32   1     0
   74   56   1     0
   75   80   1     0
   76  103   1     0
   77  127   1     0
   78  151   1     0
   79  175   1     0
   80    7   1     0
   81   31   1     0
   82   55   1     0
   83   79   1     0
   84    5   1     0
   85   29   1     0
   86   53   1     0
   87   77   1     0
   88  100   1     0
   89  124   1     0
   90  148   1     0
   91  172   1     0
   92    4   1     0
   93   28   1     0
   94   52   1     0
   95   76   1     0
    0  114   1     1
    1  138   1     1
    2  162   1     1
    3  186   1     1
    4   18   1     1
    5   42   1     1
    6   66   1     1
    7   90   1     1
    8  113   1     1
    9  137   1     1
   10  161   1     1
   11  185   1     1
   12  111   1     1
   13  135   1     1
   14  159   1     1
   15  183   1     1
   16   15   1     1
   17   39   1     1
   18   63   1     1
   19   87   1     1
   20  110   1     1
   21  134   1     1
   22  158   1     1
   23  182   1     1
   24   14   1     1
   25   38   1     1
   26   62   1     1
   27   86   1     1
   28  109   1     1
   29  133   1     1
   30  157   1     1
   31  181   1     1
   32   13   1     1
   33   37   1     1
   34   61   1     1
   35   85   1     1
   36   17   1     1
   37   41   1     1
   38   65   1     1
   39   89   1     1
   40  112   1     1
   41  136   1     1
   42  160   1     1
   43  184   1     1
   44   16   1     1
   45   40   1     1
   46   64   1     1
   47   88   1     1
   48  120   1     1
   49  144   1     1
   50  168   1     1
   51  192   1     1
   52   24   1     1
   53   48   1     1
   54   72   1     1
   55   96   1     1
   56  119   1     1
   57  143   1     1
   58  167   1     1
   59  191   1     1
   60  117   1     1
   61  141   1     1
   62  165   1     1
   63  189   1     1
   64   21   1     1
   65   45   1     1
   66   69   1     1
   67   93   1     1
