  3.323  0.830  2.730  4.111  5.950  4.817  7.641 61.576  0.681  3.352  3.507  5.186
  0.423  0.722  0.735  3.341  2.949  9.280  2.715  6.092  3.671  1.378  1.172  4.413
  2.201  0.666  4.013  5.144  4.987  3.804  5.201  5.498 80.992  2.203  5.891  0.698
  0.541  9.745  0.270  1.397  2.726  3.337  2.930  0.949  1.323  2.151  0.643  2.078
  7.204  4.218  4.297  5.525  4.905  8.421  0.317  6.117  4.045  5.738  4.849  5.712
  0.665  7.334  1.065  1.017  4.083  0.222  9.861  2.063  2.312  2.111 84.547  6.439
  7.978  5.980  8.974  8.518  0.619  6.975  4.570 41.652  6.282  6.714  3.789  1.691
  6.915  7.914  1.127  0.252  2.028  3.201  5.406  2.540  3.467  2.597  2.004  2.676
  0.496  3.891 14.861  3.959 91.094  7.356  6.872  9.349 10.685  3.165  3.723104.737
 27.653  0.780  5.517  4.397  2.553  3.264  5.430  5.450  1.522  0.796  3.352  4.051
  5.074  7.372 13.024 43.505  2.911  8.695  5.557  4.575  0.137  9.532  5.057  5.859
108.574113.534  0.333  0.580  5.515  3.878  4.059  2.761  5.814  2.492  2.636  4.829
  1.585  6.876 10.403  6.900 95.018  3.254  4.233  9.272  5.391  5.300  5.674  4.691
 45.115  2.325  0.140  5.723  1.189  1.894  4.335  0.849  1.573  4.133  3.517 24.063
  4.670  4.229  6.346 20.497 21.819  5.143  1.622  0.282  8.413  3.402  4.520  5.209
 24.354  2.744  5.855  5.673 14.939  5.340  6.106  5.067  4.940  6.814  6.702  2.022
  4.251  5.356  1.323  4.366  9.774  5.226  2.937  5.427  3.558  9.381  2.580  3.707
  3.237  4.229  2.680  7.847  5.849 11.212  2.453  3.674  3.221  1.614  6.825  4.808
  3.813  4.525  4.919  8.171  5.572  6.419  1.554 14.662  9.655  4.194  6.400  3.575
  5.670  2.945  6.416  3.765  2.450  7.044 89.270  2.849  9.593  2.281  4.395 20.104
  2.207 15.508  9.505  3.922  6.114  3.497  4.943  5.115  4.262  3.909  0.000  0.000
  0.000  0.000  4.042  5.364  5.181 10.611  8.152  6.450  6.670  1.997  8.691  4.025
  1.762  6.719 11.053  5.716  5.637  5.399  5.278  5.003  3.910  5.574  0.000  0.000
  0.000  0.000  4.776  5.284  5.200  4.071  5.066  6.099  1.791  1.047  3.501  2.775
  4.521  1.731  9.847 13.686  4.650  5.980  8.327  6.116  3.174 72.605  0.000  0.000
  0.000  0.000  3.174  4.301  5.246  2.160 87.362  2.815  3.361  2.258  2.777  5.030
  2.234  2.689 17.271  5.175  3.290  4.453  7.273  6.027  5.701  6.124  0.000  0.000
  0.000  0.000  2.809  3.687 18.983  4.975  4.695  3.372  9.068  1.491  1.209  3.319
 13.034  6.763  6.133  7.439 18.531  1.775  7.359  5.069  6.665 64.722 10.987  6.487
  3.684  6.279 11.151  6.867  2.363  5.407  5.722  2.138  1.970  1.635  2.410  2.048
  9.973 19.457 15.193 15.043  7.495  5.115  7.605 12.939  7.042  7.421  6.824  6.680
  1.831 70.149 11.329  7.887  5.665  4.759  2.101  7.074  4.666  6.021  8.503  2.126
  4.775  3.250  6.128  7.154  2.814  4.186  5.869  3.681  2.801  3.255  2.139  5.377
  6.480  4.260  6.625  2.205  3.523  6.015  3.492  4.907  4.143  4.606  1.803  1.504
  1.696  5.922  3.184  2.844 11.629  4.106  8.540  4.484  4.964  4.825  3.619  5.159
 13.524  8.986 19.208  3.437  2.013  2.303 12.877  7.468  4.195  3.954 39.051 18.055
  4.210  7.057  8.074  4.300  6.234  4.298  2.297 11.319 16.421 11.535  3.636  4.768
  3.097 10.771  3.836  3.853 10.234 21.522  4.229 16.254 78.434  5.895  3.703  1.173
  1.772  3.233  5.810  9.701 10.253  5.533  6.116 18.961  7.542  5.027  6.059  5.688
 20.759  3.647  5.633  3.130  1.477  0.575  8.210  3.606  4.268  1.898  4.065 21.962
  3.635  5.324  3.215  4.967  4.758  3.243  3.842  3.839  4.194  3.599  2.881  7.918
  3.436  3.071  9.925  1.187  4.580  0.616  2.596  9.771  2.635  4.495  1.572 12.967
  1.239  4.299  6.291  4.453  5.099  9.464  9.409  9.742  9.430  7.688 10.610  2.240
 43.025  2.443  2.516  5.752  7.437  3.620  0.959  2.983  5.925  4.626  3.212  3.429
  5.590  4.483  2.778  3.761  9.318  5.206 13.493 22.138  3.454  4.669  3.708  5.562
  4.094  4.777 11.816  5.298  2.852  4.907  2.956  2.045  4.974  2.356  3.309  2.290
  2.196  4.904  7.878  5.565  7.497  9.403  5.656  5.538  7.780 14.217 12.637  4.563
 14.790  7.023 11.541  7.960 12.201  3.322  2.007  4.772 12.715  5.393  4.709  1.326
  8.616  4.840  1.895  3.449  4.948  4.444  5.710  7.135
  1.229  4.635  4.003  4.338  3.161  2.094  5.979  2.073
  2.704  4.134  2.728  4.446  7.002  3.293  5.495  3.099
  2.119  1.619  2.789  3.211  4.036  4.101  2.441  4.540
  2.779  6.120  5.685  3.331  5.219  3.464  3.463  3.622
  4.143  1.194  5.155  4.293  3.725  3.211  4.114  0.146
  0.093  7.810  3.210  5.256  4.477  0.619  2.041 24.997
  9.375  1.751  3.112  5.599  2.090  4.699  5.742 29.932

