  3.334  0.787  2.887  4.336  9.773  4.690  5.964  3.356 23.725  3.136  3.341  5.423
  0.384  0.716  0.734  3.035  2.621 10.557  2.846  6.181  4.763  1.342  1.219  5.145
  1.988  0.703  3.058  5.398  6.691  9.641  3.065  5.344  3.771  2.210  5.269  0.669
  0.537  9.488  0.257  1.292  2.680  3.249  2.970  0.932  1.202  2.061  0.627  1.923
  8.186  3.843  3.648 27.595  5.400  8.199  0.307  5.956  3.924  5.704  4.750  6.044
  0.479  9.991  1.037  0.538  3.967  0.319  8.547  1.805  2.393  1.899 70.158  6.970
  8.384  6.091 12.871 24.909  0.594  7.018  4.460 84.748  6.648  6.565  3.784  2.808
  4.396 10.907  1.124  0.225  1.980  3.173  4.581  2.334  3.494  2.524  2.109  2.500
  0.556  4.088  8.421  6.403 88.621  3.214  6.525  7.328  8.736  3.089  3.663101.974
 27.116  0.822  3.939  4.307  4.418  6.802  4.825  5.005  1.451  0.741  4.002  3.669
  5.236  6.815  8.067  8.034  3.131  6.228  5.763  3.526  0.151  9.927  4.939  6.183
 83.898 49.953  0.330  0.570  5.280  8.246  4.106  2.703  5.764  2.508  2.620  4.833
  1.421  6.484 10.865 55.574 92.276  3.168  4.326 10.122  5.306  4.894  5.461  5.000
  1.265  2.535  0.135  5.697  1.085  1.746  4.248  0.729  1.484  3.976  3.466 23.564
  4.581  4.117 81.620 19.414 16.648  5.007  1.295  0.222  7.863  3.330  4.444  4.994
 89.790  2.783  6.024  5.441 14.381  5.490  5.946  4.898  4.810  6.816  6.905  1.818
  4.117  4.688  1.217  3.649  8.675  4.633  2.474  4.719  2.955  9.123  2.166  3.206
  2.730  3.743  2.646  7.752  5.728 11.027  2.442  3.546  3.119  1.451  6.777  4.176
  3.404  3.639  4.278  7.559  4.844  5.655  1.513 12.615  9.561  3.586  6.076  3.444
  4.989  2.610  6.246  3.628  2.405  6.416 86.587  2.901  9.365  2.102  3.955 18.628
  1.813 13.399  8.287  3.318  5.340  3.375  4.486  4.492  3.687  3.409  0.000  0.000
  0.000  0.000  4.169  5.317  4.539 11.493  8.656  6.052  6.742  1.928  8.306  3.980
  1.535  6.179  9.987  4.829  4.914  4.617  4.564  4.435  3.425  4.864  0.000  0.000
  0.000  0.000  4.696  5.183  5.050  4.019  5.624  6.000  1.991  1.014  3.035  2.793
  4.056  1.537  9.150 11.695  3.928  5.220  7.200  5.435  2.729 73.810  0.000  0.000
  0.000  0.000  3.136  4.314  5.095  2.147 93.661  2.871  3.355  2.134  2.723  4.842
  2.052  2.294 14.483  4.263  2.737  3.621  6.413  5.208  4.959  6.274  0.000  0.000
  0.000  0.000  2.871  3.861 18.941  5.045  5.116  3.303  8.978  1.360  1.188  3.120
 11.105  5.761  5.879  6.879 15.848  1.592  6.442  4.365  5.877 92.647 10.187  5.548
  3.331  5.752 12.355  6.890  2.351  4.366  5.774  2.066  1.937  1.562  2.357  1.988
  8.380 17.100  4.899 15.593  6.129  4.056  6.641 13.213  6.224  6.562  5.955  6.045
  1.645 62.468 10.666  7.679  5.558  4.712  2.056  6.902  4.575  6.182  8.435  2.043
  4.745  3.156  1.266  5.834  2.504  3.562  5.556  3.581  2.594  3.154  2.041  5.338
  6.443  4.009  6.261  2.062  3.232  5.775  3.397  4.955  4.072  4.451  1.780  1.419
  1.594  5.979  3.134  2.719 10.488  3.876  8.142  5.055  4.924  4.522  3.350  5.027
 12.604  8.424 18.508  3.238  1.912  2.289 12.582  7.304  4.090  3.787 35.104 17.751
  4.253  7.145  7.231  3.982  5.827  4.189  2.189 10.360 15.555 10.695  3.557  4.443
  3.048  9.987  3.768  3.606  9.618 20.988  4.117 16.255144.515  5.900  3.605  1.051
  1.810  3.089  3.593  9.023  9.558  5.170  5.667 19.247  7.374  4.739  5.779  5.270
 20.538  3.418  5.262  3.062  1.519  0.524  8.614  3.492  4.176  1.798  3.910  4.544
  3.452  5.203  2.900  4.919  4.517  2.903  3.382  3.561  3.862  3.386  2.663  7.878
  3.254  2.810  9.682  1.028  4.279  0.591  2.506  9.406  2.481  4.922  1.864  8.058
  1.219  4.226  5.780  4.527  4.673  8.737  8.749  8.728  8.809  7.089  8.327  2.065
 33.936  2.318  2.146  5.405  6.878  3.475  0.923  2.910  5.753  6.031  3.081  5.418
  6.002  4.295  2.497  3.400  8.844  4.722 12.444 19.899  3.141  4.327  3.416  5.139
  3.868  4.527 10.774  4.946  2.542  4.754  2.733  1.940  4.765  2.264  3.023  3.505
  2.014  4.405  7.818  5.363  6.604  8.050  5.507  5.363  7.234 12.934 11.828  4.211
 13.670  6.319 10.898  7.226 11.180  3.201  2.072  4.631 12.089  5.260  4.866  0.250
  7.820  3.995  1.781  3.330  4.780  4.108  5.396  6.555
  1.087  5.449  3.798  4.377  2.958  1.998  5.818  1.914
  2.619  2.986  2.594  4.360  7.193  3.311  5.269  3.012
  2.116  2.547  2.700  3.112  4.224  4.240  2.411  4.412
  2.456  4.795  5.579  3.447  5.403  3.228  3.010  2.989
  4.336  3.893  4.696  3.986  3.711  3.290 72.000 10.617
  0.159  3.599  3.400  5.057  4.643  0.466  2.733 13.532
  8.020  4.020  2.764  5.460  1.938  4.996  5.714 98.192

